Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
UNH,SHORT,sp500_genel,50.0,5573,984,337,922,3226,1088,63.9,26.8,23.6,25.1,41.1,249,598,85,52,33.9,29.4,82.7,43.4,61.1,Bilinmiyor
UNP,LONG,sp500_genel,50.0,5573,984,0,0,3466,2107,62.2,0.0,0.0,0.0,62.1,0,0,646,338,65.7,0.0,0.0,0.0,35.5,Bilinmiyor
UNP,SHORT,sp500_genel,50.0,5573,984,426,902,3184,1061,64.8,32.1,28.6,30.3,44.5,297,649,35,3,33.7,31.4,99.0,47.7,64.7,Bilinmiyor
UPS,LONG,sp500_genel,50.0,5573,984,0,0,3654,1919,65.6,0.0,0.0,0.0,51.3,0,0,603,381,61.3,0.0,0.0,0.0,39.1,Bilinmiyor
UPS,SHORT,sp500_genel,50.0,5573,984,572,774,3074,1153,65.4,42.5,33.2,37.3,47.8,200,719,59,6,26.3,21.8,97.1,35.6,64.1,Bilinmiyor
URI,LONG,sp500_genel,50.0,5573,984,0,0,3471,2102,62.3,0.0,0.0,0.0,56.0,0,0,579,405,58.8,0.0,0.0,0.0,34.8,Bilinmiyor
URI,SHORT,sp500_genel,50.0,5573,984,304,574,3485,1210,68.0,34.6,20.1,25.4,72.9,248,607,113,16,36.7,29.0,93.9,44.3,70.1,Bilinmiyor
USB,LONG,sp500_genel,50.0,5573,984,0,0,3725,1848,66.8,0.0,0.0,0.0,64.0,0,0,629,355,63.9,0.0,0.0,0.0,49.3,Bilinmiyor
USB,SHORT,sp500_genel,50.0,5573,984,443,790,3198,1142,65.3,35.9,27.9,31.4,57.1,307,628,44,5,35.7,32.8,98.4,49.2,70.2,Bilinmiyor
V,LONG,sp500_genel,50.0,3819,675,0,0,2297,1522,60.1,0.0,0.0,0.0,59.6,0,0,403,272,59.7,0.0,0.0,0.0,53.3,Bilinmiyor
V,SHORT,sp500_genel,50.0,3819,675,241,650,2300,628,66.5,27.0,27.7,27.4,60.3,149,454,54,18,30.1,24.7,89.2,38.7,42.5,Bilinmiyor
VEEV,LONG,sp500_genel,50.0,2625,464,0,0,1675,950,63.8,0.0,0.0,0.0,48.8,0,0,314,150,67.7,0.0,0.0,0.0,52.7,Bilinmiyor
VEEV,SHORT,sp500_genel,50.0,2625,464,215,661,1329,420,58.8,24.5,33.9,28.5,47.2,88,252,93,31,39.0,25.9,73.9,38.3,38.7,Bilinmiyor
VICI,LONG,sp500_genel,50.0,1724,305,0,0,1045,679,60.6,0.0,0.0,0.0,37.8,0,0,223,82,73.1,0.0,0.0,0.0,34.1,Bilinmiyor
VICI,SHORT,sp500_genel,50.0,1724,305,235,726,587,176,47.7,24.5,57.2,34.3,52.1,72,200,32,1,34.1,26.5,98.6,41.7,50.7,Bilinmiyor
VLO,LONG,sp500_genel,50.0,5573,984,0,0,3518,2055,63.1,0.0,0.0,0.0,58.2,0,0,607,377,61.7,0.0,0.0,0.0,48.5,Bilinmiyor
VLO,SHORT,sp500_genel,50.0,5573,984,389,793,3364,1027,67.3,32.9,27.5,29.9,55.9,189,683,94,18,28.8,21.7,91.3,35.0,68.6,Bilinmiyor
